,IC_mean,IC_std,IC_abs_mean,ICIR,valid_rate
x_intraday_vol_240min,0.028225645,0.012114833,0.028225645,2.3298416,0.7290597797890125
x_price_accel_240min,0.027287612,0.01942704,0.02829896,1.4046199,0.6457600737879748
x_spread_4h,0.027249554,0.041073535,0.04162849,0.6634334,0.7462961895428605
x_vol_accel_240min,0.025314668,0.016858758,0.02602002,1.5015736,0.6237966218942756
x_spread_6h,0.024288166,0.03780796,0.0386669,0.6424088,0.7443938433158471
x_ma_bar_ret,0.022477493,0.03769221,0.036899555,0.59634316,0.689341096443189
x_spread_8h,0.022286141,0.03670079,0.036665153,0.60723877,0.7210468668934109
x_spread_12h,0.02167589,0.035447888,0.036054645,0.6114861,0.7354585807344209
x_ma_ret_6h,0.020117927,0.033576567,0.034496754,0.5991657,0.7396091543206318
x_vol_change_rate_240min,0.01962369,0.016047096,0.020252284,1.222881,0.4622701331642359
x_rel_vol_240min,0.019535685,0.02150507,0.022841739,0.9084222,0.4380008070559751
x_klinger_8slot,0.019327223,0.023263244,0.023001714,0.8308051,0.4030091658500029
x_ma_ret_4h,0.018504223,0.03370011,0.032910597,0.54908496,0.6712976307142445
x_ma_ret_8h,0.017784046,0.031973332,0.032162726,0.556215,0.7181068772698449
x_spread_2h,0.01717819,0.03304123,0.031918813,0.51990163,0.6653600046117484
x_price_accel_8slot,0.016386569,0.0163686,0.019366954,1.0010977,0.41759382025710495
x_ma_afternoon_ret,0.01587495,0.032291792,0.030296877,0.49160945,0.6599412002075287
x_close_pos_ratio_240min,0.015597975,0.010710077,0.016359873,1.4563829,0.3298553063930363
x_ma_ret_2h,0.015333665,0.031793963,0.030101992,0.48228228,0.6480083011471724
x_linearreg_ma_240min,0.014888256,0.01610182,0.018481141,0.9246317,0.37764454948982534
x_aroon_osc_240min,0.014867778,0.018949341,0.020907095,0.7846065,0.5282757825560616
x_volume_y,0.014611824,0.025733171,0.025339834,0.56782055,0.60402375050441
x_ma_ret_1h,0.01459477,0.031381078,0.029524043,0.46508187,0.6449530178128783
x_close_pos_ratio_8slot,0.012455605,0.012717724,0.015530787,0.9793894,0.2907130916008532
x_delta,0.011355023,0.01814688,0.019210903,0.6257286,0.47783478411252667
x_effort_vs_result_8slot,0.011315643,0.018116403,0.019165607,0.6246075,0.4758747910301493
