trial,cv_score,mac,n_factors,optional,all_factors
36,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
28,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
33,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
30,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
27,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
82,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
67,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
64,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
55,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
94,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
92,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
86,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
73,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
52,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
51,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
42,1.6284084035733415,0.030923409224502974,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
48,1.5665684760822733,0.03243010041091716,9,x_amihud_volatility|x_price_impact|x_adx|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_adx|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
38,1.540244608153039,0.03552462872400738,8,x_price_impact|x_kyle_lambda_lag|x_spread_8h|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_price_impact|x_kyle_lambda_lag|x_spread_8h|x_price_ma250_dev|x_open_interest
49,1.5374137029579278,0.03119290666448149,7,x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_open_interest
10,1.4936577791654986,0.03083531372681181,9,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_open_interest
78,1.4936577791654986,0.03083531372681181,9,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_open_interest
26,1.474726618575125,0.0316398967646817,10,x_amihud_volatility|x_price_impact|x_adx|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_adx|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_open_interest
25,1.474726618575125,0.0316398967646817,10,x_amihud_volatility|x_price_impact|x_adx|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_adx|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_open_interest
24,1.474726618575125,0.0316398967646817,10,x_amihud_volatility|x_price_impact|x_adx|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_adx|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_open_interest
22,1.3830890721145366,0.034933792548283146,10,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_spread_8h|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_spread_8h|x_price_ma250_dev|x_open_interest
20,1.3830890721145366,0.034933792548283146,10,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_spread_8h|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_spread_8h|x_price_ma250_dev|x_open_interest
21,1.3830890721145366,0.034933792548283146,10,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_spread_8h|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_spread_8h|x_price_ma250_dev|x_open_interest
72,1.3788778703713196,0.025411856424044938,8,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_open_interest
71,1.350232341350953,0.04710126387309628,8,x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev|x_price_volume_trend|x_open_interest
87,1.290095008224855,0.023423374196355127,6,x_price_impact|x_kyle_lambda_lag|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_price_impact|x_kyle_lambda_lag|x_open_interest
29,1.2561558473314407,0.02726505558675421,7,x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev,x_ma_ret_4h|x_is_night|x_session_sin|x_amihud_volatility|x_price_impact|x_kyle_lambda_lag|x_price_ma250_dev
13,1.2370031694303425,0.05130276298410918,8,x_price_impact|x_ma_afternoon_ret|x_price_ma250_dev|x_price_volume_trend|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_price_impact|x_ma_afternoon_ret|x_price_ma250_dev|x_price_volume_trend|x_open_interest
96,1.2117956267647818,0.03204149325730587,8,x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_open_interest,x_ma_ret_4h|x_is_night|x_session_sin|x_price_impact|x_kyle_lambda_lag|x_ma_afternoon_ret|x_price_ma250_dev|x_open_interest
