factor,appear_folds,is_must,selected
x_boll_lower,3,False,True
x_momentum_20d,3,False,True
x_stoch_k,3,False,True
x_p_ret_20h,3,False,True
x_skewness,3,False,True
x_parkinson_volatility,3,False,True
x_price_volume_trend,3,False,True
x_open_interest,3,False,True
x_liquidity_indicator,3,False,True
x_amihud_volatility,3,False,True
x_volume_momentum,3,False,True
x_amihud_illiquidity,3,False,True
x_volume_ma_ratio,3,False,True
x_turnover,3,False,True
x_price_impact,3,False,True
x_kurtosis,3,False,True
x_volatility_ratio,3,False,True
x_price_ma250_dev,3,False,True
x_market_depth_imbalance,3,False,True
x_ease_of_movement,3,False,True
x_volume_acceleration,0,False,False
x_kyle_lambda_lag,0,False,False
x_hurst_exponent,0,False,False
x_trend_strength,0,False,False
x_adx,0,False,False
x_price_acceleration,0,False,False
x_price_channel_breakout,0,False,False
x_ma_ret_1h,0,False,False
x_ma_ret_8h,0,False,False
x_gap_ratio,0,False,False
x_ma_bar_ret,0,False,False
x_ma_afternoon_ret,0,False,False
x_volume_profile_fast,0,False,False
x_spread_2h,0,False,False
x_spread_8h,0,False,False
x_p_ret_6h,0,False,False
x_price_reversal_1d,0,False,False
