factor,abs_corr,kept
x_open_interest,0.055183063548095074,True
x_parabolic_sar,0.05501454884945851,True
x_ma_ret_8h,0.05394342542770012,True
x_volume_profile_fast,0.04977438511882911,True
x_spread_8h,0.041459612611656115,True
x_ma_bar_ret,0.040829697684987995,True
x_ma_afternoon_ret,0.04070476650077925,True
x_ma_ret_1h,0.035121913071787095,True
x_p_ret_20h,0.034738910777200836,True
x_price_impact,0.032829278289268266,True
x_accumulation_distribution,0.03261273689089848,True
x_stoch_k,0.03247541054725939,True
x_amihud_volatility,0.025164957284550798,True
x_adx,0.024106002288296423,True
x_kyle_lambda_lag,0.021735847567840624,True
x_hurst_exponent,0.021422378634000875,True
x_p_ret_6h,0.01672422265767842,True
x_amihud_illiquidity,0.016535963506198306,True
x_spread_2h,0.014425950659461367,True
x_volatility_ratio,0.01295325018320261,True
x_market_depth_imbalance,0.0122995480505353,True
x_ease_of_movement,0.011641780105409788,True
x_intraday_volatility,0.010537655415752141,True
x_price_volume_trend,0.009287420213760167,True
x_kurtosis,0.008681127622690212,True
x_price_channel_breakout,0.008674736343514535,True
x_gap_ratio,0.005010324490296058,True
x_momentum_20d,0.004508819002355441,True
x_price_ma250_dev,0.003996161565835423,True
x_ma_midday_ret,0.003059621612582665,True
x_relative_volume,0.002861367095821948,True
x_price_jump,0.002335369279246521,True
x_trend_strength,0.0019119423033220743,True
x_price_reversal_1d,0.0018819796287440186,True
x_liquidity_indicator,0.0017507590032221456,True
x_skewness,0.0017285739088884265,True
x_parkinson_volatility,0.0010752921698548791,True
x_volume_momentum,0.000931667096617648,True
x_volume_ma_ratio,0.0008538506310408452,True
