factor,icir,residual_icir
x_price_jump_240min_1,0.5252183155984022,1.0448128628030842
x_vol_change_rate_240min_1,0.6135804262318422,1.0150669993440595
x_vol_change_rate_240min,0.7446640109800805,1.006760819718194
x_price_jump_240min,0.4209799196445912,0.9362640569989638
x_trend_break_watch_8slot_1,0.06683403282831486,0.8577804763650922
x_session_sin_1,0.7818284045117023,0.8407662402654255
x_price_jump_8slot_1,0.08254078979874388,0.7946949613931724
x_trend_8slot_1,0.292873848336253,0.7463394884166172
x_price_jump_8slot,0.2675748552147124,0.6927291521183646
x_spread_4h,,0.6154634986935531
x_price_delta_volume_8slot_1,0.2124214856849936,0.6083087644351309
x_boll_lower_8slot_1,0.7595859043243307,0.5991596711078166
x_turnover_y_1,0.3970500769955063,0.5960409028578406
x_volume_y_1,0.5179208220656799,0.586086818933978
x_vwap_slope_8slot,0.020313916470429592,0.5801524473296643
x_spread_2h,,0.5799064758843149
x_spread_2h_1,,0.5794653785933341
x_turnover_y,0.3949594605890715,0.5755400106447126
x_price_ma250_dev_240min,0.5743580426841454,0.5661248319019848
x_price_ma250_dev_240min_1,0.5715311898465548,0.5549736801786816
x_boll_lower_8slot,0.7685986603161648,0.5480164437863537
x_volume_y,0.48906920532509446,0.5466493177858419
x_spread_4h_1,,0.5446889264740103
x_rel_vol_240min,0.5144887779932664,0.5416725284785001
x_rel_vol_240min_1,0.502737617910897,0.5345795148245778
x_ma20_8slot_1,0.8217631595425037,0.5316666742964455
x_ma20_8slot,0.8253517193174869,0.5168530015385615
x_ma5_8slot_1,0.8089174682629094,0.5149953983635656
x_p_ret_4h_1,0.05301829789567588,0.5103421345727339
x_market_depth_imbalance_240min_1,0.371178771198882,0.506891454887364
x_vwap_slope_8slot_1,0.04859827828262413,0.5059759618207542
x_ma20_ma60_240min_1,6.936856556958082e-05,0.5054090181599497
x_ma20_ma60_240min,0.002026145345379894,0.504979445831365
x_vol_change_rate_8slot_1,0.06348698330948793,0.5001344475873278
x_market_depth_imbalance_240min,0.3714342979889798,0.4999218224163928
x_p_ret_8h,0.09351083014800146,0.499425121477827
x_price_delta_trend_8slot,0.23938138303208673,0.4967470155451324
x_price_delta_trend_8slot_1,0.2682956498158627,0.49442436340987056
x_absorption_8slot_1,0.18807653093054064,0.4934199926452683
x_ma5_240min,0.8109515238084759,0.48312547320712945
x_ma_bar_ret,,0.48101729327642906
x_close_pos_ratio_8slot,0.4140444233922917,0.47092347175726335
x_intraday_vol_240min_1,0.27414618143309866,0.46889683269036975
x_p_ret_6h,0.004302608282849332,0.46798789240057864
x_absorption_8slot,0.05626845430051815,0.4664046639905026
x_p_ret_6h_1,0.14631258208319847,0.4622928517587199
x_vol_weighted_return_8slot,0.3831692750826081,0.45961436382257453
x_ma20_240min,0.8520293755104511,0.4592656841693634
x_sar_diff_240min_1,0.4096924513086373,0.45719746005614637
x_vol_weighted_return_8slot_1,0.3941620903749144,0.45326353332796854
x_mom5_8slot,0.02926918538837973,0.45181352711018025
x_intraday_vol_240min,0.26685836749967595,0.4511879220971627
x_ma20_240min_1,0.8516922854642811,0.451088057276718
x_ma_ret_2h,,0.4509157556671953
x_price_reversal_240min_1,0.14607091820470072,0.4456417812788145
x_ma5_240min_1,0.8128920330222525,0.44151559182662226
x_p_ret_2h_1,0.07198332625723322,0.4363358757644811
x_ma5_8slot,0.8143755091207378,0.43532277783116136
x_mom5_8slot_1,0.07131932221460179,0.4347838888274463
x_sar_diff_240min,0.3505429196132525,0.4323380348976309
x_spread_6h_1,,0.42680037258666254
x_vol_accel_240min,0.8652358567616703,0.4241722703472723
x_is_night,0.028654182509715565,0.42073549631725793
x_hurst_8slot_1,0.32177682073127556,0.4177169331414889
x_price_channel_breakout_8slot,0.08915172579960125,0.4135352662154983
x_vol_price_corr_8slot_1,0.36991021308385247,0.411956391508614
x_price_accel_240min,0.4816279721201139,0.41170302509860685
x_vol_accel_240min_1,0.7279072051583144,0.4112588795850133
x_p_ret_4h,0.043017458210046135,0.4089498323126873
x_hurst_8slot,0.29994069734160544,0.40585786936234125
x_linearreg_ma_240min_1,0.3620194143887732,0.4019183323484638
x_distribute_8slot,0.5459543750748818,0.4001125482870458
x_obv_240min_1,0.6175471600541386,0.39637444852183995
x_ma60_8slot,0.8941036884767927,0.3874497893230078
x_obv_240min,0.6017230019778824,0.38699782995980275
x_price_channel_breakout_8slot_1,0.07036240427586328,0.3859353983817168
x_ma_midday_ret,,0.3856508641511584
x_mom20_8slot,0.24809123497869068,0.38232006078743636
x_p_ret_20h,0.24809123497869068,0.38229928141301583
x_macd_hist_240min,0.3421568397842571,0.37919068642157555
x_ma20_ma60_8slot_1,0.12505272550793659,0.3791642033183642
x_ma60_8slot_1,0.8999693526275457,0.3786873762913323
x_ofi_8slot,0.45855355134099207,0.3767631299516514
