,factor,ic_ir,residual_ic_ir
0,x_price_jump_60min,0.06356336249887042,0.8944926799890905
1,x_distribute_60min,0.1445994832473881,0.8736440318746905
2,x_price_jump_60min_1,0.06870925567405345,0.8329753308785498
3,x_trend_break_watch_60min_1,0.016165836668856515,0.8281772655059487
4,x_vpin_zscore_filtered_60min_1,0.018436292736442376,0.8198137846534923
5,x_is_night,0.4311998165441895,0.7454483914989942
6,x_trend_60min,0.16165186124955225,0.7374366532660683
7,x_price_delta_trend_60min,0.11306770962104805,0.7231561691702751
8,x_price_delta_trend_60min_1,0.12940406513641842,0.7218686420107339
9,x_vpin_zscore_filtered_60min,0.010163067254339193,0.7034383573541713
10,x_distribute_60min_1,0.027500154466670767,0.6825388727962203
11,x_trend_60min_1,0.05024003652065836,0.6474617942808921
12,x_price_jump_240min_1,0.03689067884884549,0.6326411071839523
13,x_price_ma250_dev_240min,0.6005573151571264,0.6021105777124774
14,x_is_night_1,0.04195866065554663,0.5986966955532532
15,x_price_ma250_dev_240min_1,0.6015873059528979,0.5950324224999632
16,x_price_delta_volume_60min_1,0.18268238843057547,0.543495996719431
17,x_price_jump_240min,0.01212181512987027,0.5229387501350147
18,x_overnight_vol_60min,0.014717882103931188,0.512926762466658
19,x_overnight_return_60min,0.014769655388323899,0.5116456504695932
20,x_gap_ratio_60min,0.014769655388323899,0.5116456504695932
21,x_absorption_60min,0.000298512341223128,0.5034210545937134
22,x_spread_1h,,0.4916707274123764
23,x_boll_lower_60min_1,0.7244446468442667,0.48059520385821536
24,x_price_channel_breakout_60min,0.08071109024599711,0.4777177366457666
25,x_price_delta_volume_60min,0.1420148197214797,0.4723775646144637
26,x_boll_lower_60min,0.7224592971998632,0.46601038337140893
27,x_cvd_60min,0.11719194561389806,0.4635764087262679
28,x_bvwap_60min_1,0.7086839677106503,0.4608071049838791
29,x_cvd_60min_1,0.13777349728022958,0.46012858838657783
30,x_ma20_ma60_240min,0.04442797654455147,0.45996210830734857
31,x_ma5_ma20_240min,0.046844375443688656,0.4581483197621648
32,x_ma20_ma60_240min_1,0.03546376081449121,0.4574182767517975
33,x_vwap_240min,0.7192730437500253,0.4573894705393813
34,x_ma5_ma20_240min_1,0.06801515684874233,0.4565967591550535
35,x_absorption_60min_1,0.07472537980152079,0.44218631290192056
36,x_ma_midday_ret_1,,0.44056765764390177
37,x_ma20_ma60_60min_1,0.0505094404122392,0.42271811303899004
38,x_ma20_ma60_60min,0.051216659279878146,0.4200638841015851
39,x_hurst_60min_1,0.30455346735443195,0.3905191516426822
40,x_ad_line_240min_1,0.6188364157661183,0.38667496627471365
41,x_price_channel_breakout_240min_1,0.12404258560438847,0.38647736624923246
42,x_hurst_60min,0.2871754271332482,0.3799753764270092
43,x_price_channel_breakout_60min_1,0.10125316045037744,0.3797117697016586
44,x_ma5_ma20_60min_1,0.08197948752502993,0.37592893431707086
45,x_ma5_ma20_60min,0.1419967916912457,0.37321804282972637
