cluster_id,size,top_factor,best_res_ic_ir,candidates
1,4,x_volume_weighted_return,0.40174322835779835,x_volume_weighted_return | x_vol_weighted_return
2,6,x_money_flow_ratio,0.5343233011728594,x_money_flow_ratio | x_money_flow_index
3,2,x_open_interest_1,0.49428457076109517,x_open_interest_1 | x_open_interest
4,4,x_price_volume_trend,0.5736124124147853,x_price_volume_trend | x_price_volume_trend_1
5,2,x_liquidity_indicator,0.5702624060059488,x_liquidity_indicator | x_liquidity_indicator_1
6,2,x_price_impact_1,0.38285025058303307,x_price_impact_1 | x_price_impact
7,4,x_fractal_dimension_1,0.8231529322461698,x_fractal_dimension_1 | x_high_low_ratio_1
8,2,x_hurst_exponent_1,0.3740049411063649,x_hurst_exponent_1 | x_hurst_exponent
9,2,x_volume_ma_ratio_1,0.6184886882550694,x_volume_ma_ratio_1 | x_volume_ma_ratio
10,4,x_spread_20h,0.47467981714805185,x_spread_20h | x_spread_20h_1
11,5,x_session_sin_1,0.6859291485909512,x_session_sin_1 | x_ma_ret_6h
12,2,x_kyle_lambda_lag_1,0.4629190937907668,x_kyle_lambda_lag_1 | x_kyle_lambda_lag
13,3,x_is_night_1,0.7969895328208717,x_is_night_1 | x_is_night
14,4,x_volume_profile_indicator,0.3528499651262755,x_volume_profile_indicator | x_volume_profile_fast
15,2,x_aroon_up,0.5304207591929284,x_aroon_up | x_aroon_up_1
16,2,x_price_jump_1,0.38939182941686046,x_price_jump_1 | x_price_jump
