cluster_id,size,top_factor,best_res_ic_ir,candidates
1,5,x_ma_ret_8h,1.4218788412752554,x_ma_ret_8h | x_ma_ret_12h
2,4,x_spread_20h,0.8544303503605046,x_spread_20h | x_spread_20h_1
3,8,x_ma_ret_4h_1,0.9757875069085853,x_ma_ret_4h_1 | x_ma_ret_20h
4,3,x_amihud_volatility,0.9327638270383333,x_amihud_volatility | x_amihud_volatility_1
5,3,x_high_low_ratio,1.0285989064319978,x_high_low_ratio | x_high_low_ratio_1
6,1,x_price_impact,0.6439255535399739,x_price_impact
7,2,x_boll_lower_1,0.6866457478453094,x_boll_lower_1 | x_boll_lower
8,2,x_price_volume_trend_1,1.075340100790858,x_price_volume_trend_1 | x_price_volume_trend
9,5,x_volume_ma_ratio_1,1.2533182895720671,x_volume_ma_ratio_1 | x_volume_ma_ratio
10,2,x_open_interest_1,0.9213395178786473,x_open_interest_1 | x_open_interest
11,2,x_price_delta_1,0.6587601638636722,x_price_delta_1 | x_price_delta_volume_1
12,5,x_spread_8h,1.4116452157618,x_spread_8h | x_spread_12h
13,7,x_is_night_1,1.1209666215675478,x_is_night_1 | x_session_sin_1
14,1,x_trend_strength_1,0.7683046566617135,x_trend_strength_1
