,factor,ic_ir,residual_ic_ir
0,x_ma_ret_12h,1.3583506721458358,1.506922129269329
1,x_ma_ret_8h,1.3972785892238024,1.3983287639897897
2,x_volume_ma_ratio_1,0.7675827807622558,1.2622560996900831
3,x_spread_8h,1.4827354784257938,1.246181549084577
4,x_price_volume_trend_1,1.2137264653364999,1.1770842732100781
5,x_volume_ma_ratio,0.6346484130410186,1.1687849507872592
6,x_price_volume_trend,1.2023603497752127,1.1632689119924047
7,x_high_low_ratio,0.011546978945453007,1.0914283775278566
8,x_high_low_ratio_1,0.050249339398633255,1.0908815564204208
9,x_session_sin_1,0.581314474204491,1.0577249614564126
10,x_is_night_1,0.20589557708112724,1.0418939353328829
11,x_ma_ret_20h,1.0185515192082322,0.9914633776648747
12,x_price_delta_trend,0.12458552506472632,0.9726237297482412
13,x_open_interest_1,0.7991296808785368,0.9712282063119537
14,x_relative_volume_1,0.7286950749161304,0.9702741587288934
15,x_price_delta_trend_1,0.1560577298658241,0.9702333254020294
16,x_ma_ret_6h,1.006745515342138,0.9514775333915836
17,x_open_interest,0.7257609335778743,0.9348317489553968
18,x_session_sin,0.14694516579059194,0.9032319073941227
19,x_is_night,0.008861399934057646,0.8669183553704491
20,x_close_position_ratio,0.8258580049532845,0.8562544419031999
21,x_p_ret_12h,1.1257072552984455,0.841640380252638
22,x_ma_ret_4h_1,0.8229318206155972,0.8230420981232286
23,x_fractal_dimension,0.9539632247382652,0.7766556582342033
24,x_intraday_volatility_1,0.4529151368444203,0.769990725315098
25,x_fractal_dimension_1,0.9317283465508431,0.7545914104418554
26,x_amihud_volatility,0.7411875504033186,0.7377903844164511
27,x_spread_20h,0.7654854811773615,0.7361159526237924
28,x_volume_profile_indicator,0.5968786926844623,0.7314423426083448
29,x_trend_strength_1,0.5282355530509416,0.7272052542487839
30,x_price_delta_volume_1,0.1609491124181805,0.7220629538614539
31,x_price_impact,0.8372861863257456,0.7211472705539796
32,x_spread_12h,0.9052893244360151,0.7183252911940949
33,x_volume_profile_indicator_1,0.5772835894974597,0.7098767489850435
34,x_ma_bar_ret,1.0678019794028906,0.6988908524900785
35,x_trend_strength,0.46021344058745484,0.6770834050496268
36,x_spread_20h_1,0.6739978949658056,0.6757846482237208
37,x_price_delta_1,0.18999563891555685,0.6728187910673026
38,x_volume_momentum_1,0.6127872622667762,0.665851557657091
39,x_amihud_volatility_1,0.6804334282841729,0.6654807017731761
40,x_rsi_14d,0.27581889474814547,0.6574971046167452
41,x_p_ret_8h_1,0.7070866532610146,0.6522955901533019
42,x_p_ret_6h_1,0.7070866532610146,0.6522955901533019
43,x_p_ret_4h_1,0.7070866532610146,0.6522955901533019
44,x_ma_ret_12h_1,0.6450390131353522,0.6403220240673211
45,x_p_ret_12h_1,0.6713927596317921,0.6392283317902151
46,x_overnight_return_1,0.6223343683401673,0.6327824848466671
47,x_overnight_volatility_1,0.6223343683401673,0.6307871544238906
48,x_ma_ret_6h_1,0.6326558218379799,0.6210674517999676
49,x_volume_acceleration_1,0.6209846031692611,0.620342762689943
50,x_ma_ret_2h_1,0.6486813403940718,0.617045402409478
51,x_p_ret_2h_1,0.6765932711391499,0.6122989708538341
52,x_p_ret_1h_1,0.6765932711391499,0.6122989708538341
53,x_return_1d_1,0.6765932711391499,0.6122989708538341
54,x_log_return_1d_1,0.6765932711391499,0.6117581649890318
55,x_ma_ret_8h_1,0.6127912481748244,0.6037169851711359
56,x_price_impact_1,0.7126239570525906,0.6020538936401914
57,x_market_depth_imbalance_1,0.005741583386588513,0.6014703033941359
58,x_cvd,0.4002414941125898,0.599937071332377
59,x_cvd_1,0.4192820531734958,0.5978710588354913
60,x_donchian_position,0.49515746016905354,0.5934065006613694
61,x_price_ma250_dev_1,0.6128655205583726,0.5928628966803315
62,x_p_ret_4h,0.9665809164523717,0.591638631036134
63,x_p_ret_6h,0.9665809164523717,0.591638631036134
64,x_p_ret_8h,0.9665809164523717,0.591638631036134
