,factor,ic_ir,residual_ic_ir
0,x_turnover,0.3789964031250642,0.6280319843554725
1,x_buy_vol,0.15592788910538666,0.6239794108120533
2,x_kurtosis,0.1612770669733805,0.6221654149340611
3,x_realized_volatility_1,0.3677550065248093,0.6217200588700535
4,x_realized_volatility,0.45500966972669793,0.6181518023537496
5,x_sell_vol,0.22344540679724184,0.6111338740374492
6,x_kurtosis_1,0.07394939862479158,0.6044850118965126
7,x_volume_change_rate,0.5487991384370781,0.5893322765205408
8,x_kyle_lambda_1,0.19302509713229918,0.5817192929819198
9,x_kyle_lambda,0.2363014149245515,0.5806375592697092
10,x_volume_ma_ratio_1,0.7675827807622558,0.577905986706278
11,x_volume_momentum,0.19308933504155773,0.5743433646433072
12,x_price_delta_trend_1,0.1560577298658241,0.5737256522556312
13,x_price_delta_trend,0.12458552506472632,0.5735981987668048
14,x_turnover_1,0.011492667613306955,0.5494816170638432
15,x_volume_acceleration,0.041274176155317775,0.5427407062976956
16,x_atr,0.6638281535193072,0.5388331604627826
17,x_price_volume_trend_1,1.2137264653364999,0.5358213041280979
18,x_volume_profile_indicator_1,0.5772835894974597,0.5314480544904852
19,x_price_volume_trend,1.2023603497752127,0.5295823045108344
20,x_amihud_volatility_1,0.6804334282841729,0.5272653665969658
21,x_ad,0.04808317517209699,0.5215755896481366
22,x_ad_1,0.12539367274174382,0.5164184662596284
23,x_atr_1,0.6667921552247246,0.5161764943144618
24,x_price_delta_volume,0.11005211015704804,0.5157653835769378
25,x_chaikin_oscillator,0.10249837145926027,0.5139606182981793
26,x_intraday_volatility,0.0136723030739519,0.5129219498314282
27,x_buy_vol_1,0.229010368524155,0.5088325401687264
28,x_chaikin_oscillator_1,0.21461743647379478,0.507825936655438
29,x_cvd_1,0.4192820531734958,0.5054226557041138
30,x_cvd,0.4002414941125898,0.5028281141036905
31,x_sell_vol_1,0.19540814660024905,0.49223850318409695
32,x_session_sin,0.14694516579059194,0.4877372608676065
33,x_vwap_dev,0.5882618967814771,0.48681789241290313
34,x_volume_ma_ratio,0.6346484130410186,0.4862817110035418
35,x_trend1,0.4512023530048449,0.4848823155026303
36,x_amihud_volatility,0.7411875504033186,0.47982349707659566
37,x_high_low_ratio_1,0.050249339398633255,0.47302973778038027
38,x_high_low_ratio,0.011546978945453007,0.47166260704052965
39,x_price_delta,0.09659196174585999,0.4695899841658322
40,x_spread_8h,1.4827354784257938,0.4667687946288395
41,x_spread_12h,0.9052893244360151,0.4582555152422797
42,x_price_impact,0.8372861863257456,0.4577567005923578
43,x_is_night_1,0.20589557708112724,0.45579859755170427
44,x_boll_lower_1,0.7787836932613369,0.4551607810425339
45,x_price_channel_breakout,0.19583716441008606,0.45343665269843486
46,x_trend_1,0.2797908353641427,0.44112104497851606
47,x_volume_profile_indicator,0.5968786926844623,0.43533192768095497
48,x_obv_1,0.478680265976686,0.435129076175429
49,x_boll_lower,0.7535944957251846,0.43326604104171135
50,x_spread_1h_1,0.26380886444104096,0.43022748026210256
51,x_session_sin_1,0.581314474204491,0.4294565621714997
52,x_klinger_1,0.06865643198038775,0.4185168690147866
53,x_obv,0.45006734385021396,0.4179839195314998
54,x_klinger,0.031563099425550106,0.41679727639469816
55,x_distribute_1,0.10033267631199176,0.40852801065558275
56,x_ma_afternoon_ret,0.3946115128540891,0.3989856081104907
57,x_absorption,0.5376204945888139,0.3823901872274332
58,x_ma_ret_1h_1,0.5799208709509719,0.3811036283090205
59,x_ma_bar_ret,1.0678019794028906,0.3791230664513523
60,x_price_channel_breakout_1,0.2980042690861835,0.36922016073568664
61,x_spread_6h_1,0.5426628620818518,0.3662495738198171
62,x_stoch_k,0.2982378538840408,0.36511600981708525
63,x_overnight_return,0.7457787488081029,0.3628010041296582
64,x_overnight_volatility,0.7457787488081029,0.36271217824522106
65,x_trend_strength,0.46021344058745484,0.36202529974558806
66,x_relative_volume_1,0.7286950749161304,0.3580208773406921
67,x_boll_upper_1,1.2680800683053917,0.3549885523931355
68,x_ma_ret_2h_1,0.6486813403940718,0.3527122508206393
69,x_boll_upper,1.2556597203296447,0.35201352717231954
70,x_p_ret_20h,0.9138995652909905,0.3428102868875884
71,x_ofi_1,0.5236960820815367,0.34178273836305373
72,x_relative_volume,0.012203698247085424,0.3410526128807572
73,x_spread_4h,0.006668273518909102,0.3401083533737364
74,x_linearreg_ma_1,0.5202981602914958,0.33972649293610174
75,x_trend_strength_1,0.5282355530509416,0.3360966014235495
76,x_spread_4h_1,0.37725648286943125,0.3277002996093575
77,x_rsi_14d,0.27581889474814547,0.3226217098854033
78,x_log_return_1d,0.9473737807804038,0.3199207456760337
79,x_return_1d,0.9473737807804038,0.3180665924562469
80,x_p_ret_2h,0.9473737807804038,0.3180665924562469
81,x_p_ret_1h,0.9473737807804038,0.3180665924562469
82,x_trend1_1,0.3382398525803387,0.31542510836015386
83,x_close_position_ratio,0.8258580049532845,0.305601562637848
84,x_linearreg_ma,0.21734634219931934,0.3017142168889194
85,x_open_interest_1,0.7991296808785368,0.2987644820406919
86,x_skewness_1,0.058052812311012246,0.2947122384696903
87,x_distribute,0.3650131604743453,0.2939064754135713
88,x_spread_2h_1,0.35153735775465633,0.29293818840354663
89,x_vwap_dev_1,0.25816164855268353,0.29192538497723824
90,x_close_position_ratio_1,0.3972978054649219,0.2824408156579578
91,x_volatility_ratio,0.26497376450656057,0.28023297420882054
92,x_ma_ret_6h_1,0.6326558218379799,0.27558637027894056
93,x_williams_r,0.5346606276128715,0.2754902079683552
94,x_macd_histogram,0.06839913905036389,0.27262051917635116
95,x_open_interest,0.7257609335778743,0.2677183071453494
96,x_price_impact_1,0.7126239570525906,0.2655861285396299
97,x_volume_acceleration_1,0.6209846031692611,0.2646051588919109
98,x_macd_histogram_1,0.10019228782874451,0.26407300064899325
99,x_spread_2h,0.11762022247686411,0.26201088906628295
100,x_money_flow_ratio_1,0.05011507944524084,0.2618460876442636
101,x_money_flow_index_1,0.05011507944524084,0.2618460876442636
102,x_price_ma250_dev_1,0.6128655205583726,0.2568607113220441
103,x_rsi_14d_1,0.0789519733212478,0.25627716005358936
104,x_spread_12h_1,0.5070970400825388,0.25269299863604056
105,x_price_ma250_dev,0.5957717320590334,0.2508622618345509
106,x_amihud_illiquidity,0.06013566139337892,0.24566455053876818
107,x_spread_6h,0.6825750281353579,0.244413758013725
108,x_overnight_return_1,0.6223343683401673,0.240296056901669
109,x_overnight_volatility_1,0.6223343683401673,0.2395733587781524
110,x_amihud_illiquidity_1,0.09289995788140314,0.23855764865283097
111,x_effort_vs_result_1,0.46764554423038485,0.23517418645637755
112,x_return_5d_1,0.010299754176554968,0.23192991026449006
113,x_fractal_dimension,0.9539632247382652,0.23047568549651326
114,x_parabolic_sar_1,1.0872579451272995,0.23039077508383812
115,x_delta_1,0.4670395934637008,0.22989797202578735
116,x_volume_price_correlation,0.2473747326624038,0.22685156535348439
117,x_parabolic_sar,1.0745846786735176,0.22634433563367412
118,x_return_5d,0.29334321933628293,0.21985190007445418
119,x_volume_weighted_return,0.06848553923460393,0.2195257059544297
120,x_absorption_1,0.7877399775832886,0.2160950475497047
121,x_stoch_d,0.05404420876393536,0.2074887887914762
122,x_volume_weighted_return_1,0.17278711879792724,0.19884377413287743
123,x_aroon_down,0.1853673512487613,0.19564308774206965
124,x_fractal_dimension_1,0.9317283465508431,0.19363257530996406
125,x_parkinson_volatility,0.04605607604716471,0.19076271174537995
126,x_stoch_k_1,0.01721339024574967,0.18780708695959106
127,x_spread_20h,0.7654854811773615,0.18327643009314865
128,x_adx,0.12845174633583287,0.17697493923752122
129,x_donchian_position,0.49515746016905354,0.17649049920366497
130,x_parkinson_volatility_1,0.0757787980236835,0.16844554044876728
131,x_trix_1,0.17583782772222714,0.16593321478110984
132,x_is_night,0.008861399934057646,0.16320231468598084
133,x_volume_price_correlation_1,0.3019124813032356,0.16069152460710656
134,x_ease_of_movement,0.043264211580723536,0.15853025214097852
135,x_adx_1,0.21779914464856817,0.1576666275148863
