trial,score,icir_cv,fold_std,mean_abs_corr,n_factors,optional,all_factors
31,-0.1074264405631887,0.0,0.0,0.0297057622527548,4,x_kurtosis|x_volume_ma_ratio_1,x_vwap|x_ma_ret_icir|x_kurtosis|x_volume_ma_ratio_1
32,-0.10817827354515062,0.0,0.0,0.032713094180602455,4,x_kurtosis|x_volume_ma_ratio,x_vwap|x_ma_ret_icir|x_kurtosis|x_volume_ma_ratio
37,-0.1332351121783597,0.0,0.0,0.33294044871343886,3,x_boll_lower,x_vwap|x_ma_ret_icir|x_boll_lower
38,-0.1529352985038512,0.0,0.0,0.21174119401540484,4,x_kurtosis|x_boll_lower,x_vwap|x_ma_ret_icir|x_kurtosis|x_boll_lower
35,-0.1529352985038512,0.0,0.0,0.21174119401540484,4,x_kurtosis|x_boll_lower,x_vwap|x_ma_ret_icir|x_kurtosis|x_boll_lower
18,-0.16072168290544908,0.0,0.0,0.04288673162179622,5,x_ad_1|x_volume_ma_ratio_1|x_spread_8h,x_vwap|x_ma_ret_icir|x_ad_1|x_volume_ma_ratio_1|x_spread_8h
16,-0.16072168290544908,0.0,0.0,0.04288673162179622,5,x_ad_1|x_volume_ma_ratio_1|x_spread_8h,x_vwap|x_ma_ret_icir|x_ad_1|x_volume_ma_ratio_1|x_spread_8h
40,-0.1648853532784297,0.0,0.0,0.0595414131137187,5,x_amihud_volatility|x_kurtosis|x_volume_ma_ratio_1,x_vwap|x_ma_ret_icir|x_amihud_volatility|x_kurtosis|x_volume_ma_ratio_1
34,-0.17114133881494686,0.0,0.0,0.08456535525978734,5,x_atr_1|x_kurtosis|x_volume_ma_ratio,x_vwap|x_ma_ret_icir|x_atr_1|x_kurtosis|x_volume_ma_ratio
22,-0.21015757244878566,0.0,0.0,0.040630289795142646,6,x_kurtosis|x_ad_1|x_volume_ma_ratio_1|x_spread_12h,x_vwap|x_ma_ret_icir|x_kurtosis|x_ad_1|x_volume_ma_ratio_1|x_spread_12h
24,-0.21261986681661768,0.0,0.0,0.050479467266470644,6,x_amihud_volatility_1|x_ad_1|x_volume_ma_ratio_1|x_spread_8h,x_vwap|x_ma_ret_icir|x_amihud_volatility_1|x_ad_1|x_volume_ma_ratio_1|x_spread_8h
33,-0.21284645964119925,0.0,0.0,0.051385838564796935,6,x_kurtosis|x_vwap_dev|x_buy_vol|x_volume_ma_ratio_1,x_vwap|x_ma_ret_icir|x_kurtosis|x_vwap_dev|x_buy_vol|x_volume_ma_ratio_1
15,-0.21388901452621364,0.0,0.0,0.05555605810485456,6,x_ad_1|x_buy_vol|x_volume_ma_ratio|x_spread_8h,x_vwap|x_ma_ret_icir|x_ad_1|x_buy_vol|x_volume_ma_ratio|x_spread_8h
28,-0.21602227197024298,0.0,0.0,0.06408908788097188,6,x_amihud_volatility|x_kurtosis|x_ad_1|x_spread_12h,x_vwap|x_ma_ret_icir|x_amihud_volatility|x_kurtosis|x_ad_1|x_spread_12h
39,-0.22066127420229342,0.0,0.0,0.0826450968091736,6,x_amihud_volatility_1|x_realized_volatility_1|x_buy_vol|x_volume_ma_ratio,x_vwap|x_ma_ret_icir|x_amihud_volatility_1|x_realized_volatility_1|x_buy_vol|x_volume_ma_ratio
