,factor,ic_ir,residual_ic_ir
0,x_price_jump_60min,0.06317344437672456,0.894690085337201
1,x_distribute_60min,0.1449591179597022,0.8743834883116617
2,x_is_night,0.4313121304282525,0.7457249192869744
3,x_trend_60min,0.16246070340117297,0.7386076966025671
4,x_price_delta_trend_60min,0.11347948611313108,0.723139774460241
5,x_vpin_zscore_filtered_60min,0.009785932176113283,0.7038108252981453
6,x_price_ma250_dev_240min,0.6013399437630519,0.6028510269402638
7,x_price_jump_240min,0.011691755474421252,0.5232617797185162
8,x_overnight_vol_60min,0.014179516544282627,0.5141185203055918
9,x_gap_ratio_60min,0.014231315545228806,0.5128876683976672
10,x_overnight_return_60min,0.014231315545228806,0.5128876683976672
11,x_absorption_60min,0.0005832529435306733,0.5045371847125746
12,x_spread_1h,,0.49181467651605765
13,x_price_channel_breakout_60min,0.08047549898132846,0.4785721903375618
14,x_price_delta_volume_60min,0.14245339433050086,0.47267944169527193
15,x_boll_lower_60min,0.7232238151367469,0.46570370259290056
16,x_cvd_60min,0.11702633814712449,0.4643578355373239
17,x_ma20_ma60_240min,0.044326765202027746,0.4601803323843646
18,x_ma5_ma20_240min,0.046817697038979436,0.4581322775201313
19,x_vwap_240min,0.7199825941118649,0.457477512235756
20,x_ma20_ma60_60min,0.0511118846421293,0.42024269239733486
21,x_hurst_60min,0.2873722470617944,0.38009339872831027
22,x_ma5_ma20_60min,0.14221217045628998,0.37320680336946316
23,x_ad_line_240min,0.6330883404547735,0.3600910681050084
24,x_ma_midday_ret,,0.35823823713925573
25,x_session_sin,0.2785021504403708,0.3460959501385426
26,x_high_low_ratio_60min,0.22446950879894004,0.345227730020412
27,x_volume_profile_60min,0.45041001809061104,0.345142819444392
28,x_high_low_ratio_240min,0.1599358014603405,0.3371509414540705
29,x_price_channel_breakout_240min,0.04902725514315757,0.3289797505475318
30,x_mfi_60min,0.41625411266573253,0.32601345076963845
31,x_money_flow_ratio_60min,0.41625411266573253,0.32601345076963845
32,x_volume_profile_240min,0.21921283365221486,0.3141239924851147
33,x_fractal_dim_60min,0.37756004029641843,0.30409227290705526
34,x_kurtosis_240min,0.3089733669197197,0.29952335872398045
35,x_turnover_x,0.5039359915696333,0.29748896542497805
36,x_vwap_pv,0.5039024587917993,0.29725251657673124
37,x_rel_vol_240min,0.20532408364332155,0.29527682188622234
38,x_obv_60min,0.6397257608910509,0.28725885921131067
39,x_intraday_return_240min,0.016624412896669487,0.2864862272103602
40,x_overnight_vol_240min,0.4776307319502272,0.28157827164343946
41,x_gap_ratio_240min,0.4776307319502272,0.2809117308453293
42,x_overnight_return_240min,0.4776307319502272,0.2809117308453293
43,x_hurst_240min,0.2809021172760692,0.2794663573333203
44,x_ease_of_movement_60min,0.062086574093485225,0.2765027041573131
45,x_vpin_zscore_60min,0.29263420350696223,0.2747873224184568
46,x_fractal_dim_240min,0.33778195715010956,0.27308144337715085
47,x_chaikin_osc_60min,0.04186710259774651,0.2717549482553777
48,x_skew_60min,0.14413914304766626,0.270523103193198
49,x_bvwap_60min,0.7240383373329305,0.2700749428577914
50,x_vol_weighted_return_60min,0.11802740948279737,0.26607059551654744
51,x_spread_6h,,0.26506008464091974
52,x_ad_line_60min,0.8948583462591504,0.2603865867531993
53,x_volume_x,0.36115705028423084,0.25303920112028816
54,x_ma_bar_ret,,0.24510922129653867
55,x_ma_ret_6h,,0.23333206327610206
56,x_price_reversal_240min,0.1255019076818417,0.23254824182279082
57,x_market_depth_imbalance_240min,0.2352842642506475,0.23179352689968902
58,x_vwap_dev_60min,0.18529286527275438,0.22944849894486868
59,x_ad_60min,0.021588957689336746,0.2285165626260179
60,x_vwap_dev_240min,0.06627661609800226,0.22686524368745142
61,x_buy_vol,0.3116513966850383,0.22136343948546797
62,x_vpin_240min,0.22716858092194084,0.21801286034038045
63,x_ma_ret_1h,,0.21670293411843686
64,x_trend_break_watch_60min,0.010550995199519181,0.21664137196226355
65,x_sell_vol,0.34760250875150966,0.21633763861208613
66,x_linearreg_ma_240min,0.12700676909340686,0.21531584862759953
67,x_klinger_240min,0.24106212958792647,0.21262031140184762
68,x_ma20_60min,0.7976161109902504,0.2122430110568139
69,x_trend1_60min,0.04508185815114832,0.21188494377847314
70,x_spread_4h,,0.2058471176059945
71,x_ma5_60min,0.7309062713516127,0.20498172048050778
72,x_rvi_60min,0.03296368453676203,0.2047054545539882
73,x_ma_ret_20h,,0.20141133784699203
74,x_p_ret_2h,0.159898144795597,0.1981921009667523
75,x_vol_mom_240min,0.23591806009737187,0.19425163724160585
76,x_spread_2h,,0.19309057114758574
77,x_price_reversal_60min,0.01843914413361956,0.1901604748566085
