bar_idx,time,inter_short,w_short_1h,icir_1h,w_short_2h,icir_2h,inter_mid,w_mid_4h,icir_4h,w_mid_6h,icir_6h,inter_long,w_long_8h,icir_8h,w_long_12h,icir_12h
2000,2019-06-17 15:00:00,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0
3000,2020-01-20 23:00:00,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0
4000,2020-09-29 10:45:00,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0,0.3333,0.3333,0.0,0.0,0.0
5000,2021-05-06 11:15:00,0.6168,0.3567,0.575,0.26,0.4191,0.2071,0.0,0.1684,0.2071,0.171,0.1761,0.1761,0.1454,0.0,0.0827
6000,2021-11-30 15:00:00,0.4584,0.4584,0.2176,0.0,0.024,0.1252,0.1252,0.0594,0.0,0.0299,0.4163,0.4163,0.1977,0.0,0.1227
7000,2022-06-30 15:00:00,0.4058,0.0,0.2685,0.4058,0.6021,0.3148,0.3148,0.4671,0.0,0.2586,0.2793,0.1667,0.4767,0.1127,0.3223
8000,2023-01-30 11:15:00,0.3972,0.0,0.2285,0.3972,0.4097,0.2645,0.2645,0.2728,0.0,0.0852,0.3383,0.0,0.2207,0.3383,0.349
9000,2023-08-22 14:45:00,0.3023,0.0,0.0543,0.3023,0.1896,0.4428,0.4428,0.2778,0.0,0.1841,0.255,0.0,0.0284,0.255,0.1599
10000,2024-03-22 00:00:00,0.2867,0.0,0.1444,0.2867,0.1708,0.4864,0.4864,0.2897,0.0,0.2474,0.227,0.0,0.1308,0.227,0.1352
11000,2024-10-24 09:30:00,0.5771,0.5771,0.2533,0.0,0.1487,0.1267,0.1267,0.0556,0.0,0.0439,0.2962,0.2962,0.13,0.0,0.0903
12000,2025-05-26 10:00:00,0.2576,0.0,0.0526,0.2576,0.139,0.2449,0.0,0.0582,0.2449,0.1321,0.4976,0.0,0.159,0.4976,0.2685
13000,2025-12-17 14:45:00,0.382,0.382,0.2954,0.0,0.2406,0.2717,0.2717,0.2101,0.0,0.068,0.3463,0.0,0.0827,0.3463,0.2678
