cluster_id,size,top_factor,best_res_ic_ir,candidates
1,9,x_ease_of_movement_8slot,0.5675536748218316,x_ease_of_movement_8slot | x_bvwap_dev_8slot | x_vwap_dev_8slot | x_mom5_240min | x_ma5_ma20_8slot | x_cci_8slot
2,7,x_roc_8slot,0.48476862827134154,x_roc_8slot | x_p_ret_12h | x_p_ret_8h | x_macd_hist_8slot | x_williams_r_8slot | x_sar_diff_8slot
3,2,x_price_channel_breakout_8slot,0.4720738283835217,x_price_channel_breakout_8slot | x_price_channel_breakout_240min
4,11,x_sar_diff_240min,0.5606200461955041,x_sar_diff_240min | x_vwap_dev_240min | x_roc_240min | x_vol_weighted_return_8slot | x_macd_hist_240min | x_p_ret_20h
5,6,x_ma20_ma60_240min,0.4482204985626285,x_ma20_ma60_240min | x_ma20_ma60_8slot | x_ma5_ma20_240min | x_ease_of_movement_240min | x_price_ma250_dev_8slot | x_aroon_osc_240min
6,1,x_price_delta_trend_8slot,0.5962430648250089,x_price_delta_trend_8slot
7,3,x_overnight_vol_8slot,0.4507390001950208,x_overnight_vol_8slot | x_overnight_return_8slot | x_gap_ratio_8slot
8,4,x_trend_8slot,0.5351663388568835,x_trend_8slot | x_trend1_8slot | x_trend_break2_8slot | x_trend_break_8slot
9,2,x_price_jump_240min,0.6625680319120149,x_price_jump_240min | x_ma_midday_ret
10,2,x_price_jump_8slot,0.6287919201256434,x_price_jump_8slot | x_absorption_8slot
11,6,x_spread_6h,0.309686921947075,x_spread_6h | x_spread_1h | x_ma_bar_ret | x_spread_4h | x_spread_12h | x_spread_2h
12,5,x_high_low_ratio_240min,0.4234424166291961,x_high_low_ratio_240min | x_high_low_ratio_8slot | x_fractal_dim_8slot | x_fractal_dim_240min | x_atr_8slot
13,1,x_cvd_8slot,0.5479662195458587,x_cvd_8slot
14,1,x_vol_change_rate_8slot,0.2715130983201916,x_vol_change_rate_8slot
15,3,x_overnight_vol_240min,0.34713254961552886,x_overnight_vol_240min | x_overnight_return_240min | x_gap_ratio_240min
16,1,x_linearreg_ma_240min,0.4507986389655507,x_linearreg_ma_240min
17,1,x_volume_profile_240min,0.44483319397955345,x_volume_profile_240min
18,1,x_price_accel_8slot,0.25044193822035904,x_price_accel_8slot
19,1,x_hurst_240min,0.41459014553261675,x_hurst_240min
20,1,x_liquidity_240min,0.46580139287115974,x_liquidity_240min
21,1,x_kurtosis_240min,0.2575798679799407,x_kurtosis_240min
22,1,x_is_night,0.607422971896895,x_is_night
23,1,x_close_pos_ratio_8slot,0.3981256282592421,x_close_pos_ratio_8slot
24,1,x_distribute_8slot,0.6781656772419249,x_distribute_8slot
25,2,x_obv_240min,0.6350732049300407,x_obv_240min | x_ad_line_8slot
26,9,x_boll_lower_8slot,0.5738790414450488,x_boll_lower_8slot | x_price_ma250_dev_240min | x_ma20_8slot | x_pvt_8slot | x_ma5_240min | x_obv_8slot
27,5,x_vol_change_rate_240min,0.6897469212012337,x_vol_change_rate_240min | x_rel_vol_240min | x_volume_y | x_turnover_y | x_intraday_vol_240min
28,2,x_vol_ma_ratio_240min,0.47922449270369455,x_vol_ma_ratio_240min | x_vol_mom_240min
29,7,x_price_delta_volume_8slot,0.49046769192595685,x_price_delta_volume_8slot | x_turnover_x | x_vwap_pv | x_volume_x | x_buy_vol | x_sell_vol
30,2,x_open_interest_x,0.43675322570419006,x_open_interest_x | x_open_interest_y
31,1,x_session_sin,0.28805756807570365,x_session_sin
