trial,score,oos_sharpe,mean_abs_corr,n_factors,optional,all_factors
87,1.8867820668293225,1.9083903592582163,0.08643316971557528,21,x_roc_8slot|x_price_channel_breakout_240min|x_roc_240min|x_ease_of_movement_240min|x_overnight_return_8slot|x_trend_break_8slot|x_price_jump_240min|x_price_jump_8slot|x_ma_bar_ret|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_liquidity_240min|x_close_pos_ratio_8slot|x_ad_line_8slot|x_ma5_240min|x_vol_mom_240min|x_sell_vol|x_open_interest_x,x_vwap_8slot|x_ma_ret_icir|x_roc_8slot|x_price_channel_breakout_240min|x_roc_240min|x_ease_of_movement_240min|x_overnight_return_8slot|x_trend_break_8slot|x_price_jump_240min|x_price_jump_8slot|x_ma_bar_ret|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_liquidity_240min|x_close_pos_ratio_8slot|x_ad_line_8slot|x_ma5_240min|x_vol_mom_240min|x_sell_vol|x_open_interest_x
143,1.8390642950921128,1.8639655589455268,0.09960505541365625,22,x_williams_r_8slot|x_price_channel_breakout_240min|x_sar_diff_240min|x_trend_break2_8slot|x_price_jump_240min|x_price_jump_8slot|x_ma_bar_ret|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_overnight_vol_240min|x_is_night|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_rel_vol_240min|x_vol_mom_240min|x_turnover_x|x_open_interest_x|x_session_sin,x_vwap_8slot|x_ma_ret_icir|x_williams_r_8slot|x_price_channel_breakout_240min|x_sar_diff_240min|x_trend_break2_8slot|x_price_jump_240min|x_price_jump_8slot|x_ma_bar_ret|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_overnight_vol_240min|x_is_night|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_rel_vol_240min|x_vol_mom_240min|x_turnover_x|x_open_interest_x|x_session_sin
95,1.8141234935148745,1.8410480480768754,0.10769821824800353,24,x_ease_of_movement_8slot|x_williams_r_8slot|x_price_channel_breakout_240min|x_sar_diff_240min|x_aroon_osc_240min|x_overnight_return_8slot|x_trend_break_8slot|x_price_jump_240min|x_price_jump_8slot|x_ma_bar_ret|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_linearreg_ma_240min|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_rel_vol_240min|x_vol_mom_240min|x_vwap_pv|x_open_interest_x,x_vwap_8slot|x_ma_ret_icir|x_ease_of_movement_8slot|x_williams_r_8slot|x_price_channel_breakout_240min|x_sar_diff_240min|x_aroon_osc_240min|x_overnight_return_8slot|x_trend_break_8slot|x_price_jump_240min|x_price_jump_8slot|x_ma_bar_ret|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_linearreg_ma_240min|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_rel_vol_240min|x_vol_mom_240min|x_vwap_pv|x_open_interest_x
126,1.7809345686559592,1.8011953991826632,0.08104332210681608,18,x_p_ret_8h|x_macd_hist_240min|x_ease_of_movement_240min|x_price_delta_trend_8slot|x_trend_break_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_6h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_price_accel_8slot|x_close_pos_ratio_8slot|x_volume_y|x_vol_mom_240min|x_open_interest_x,x_vwap_8slot|x_ma_ret_icir|x_p_ret_8h|x_macd_hist_240min|x_ease_of_movement_240min|x_price_delta_trend_8slot|x_trend_break_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_6h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_price_accel_8slot|x_close_pos_ratio_8slot|x_volume_y|x_vol_mom_240min|x_open_interest_x
148,1.7547009635847663,1.779428760355676,0.09891118708363872,25,x_vwap_dev_8slot|x_williams_r_8slot|x_price_channel_breakout_8slot|x_p_ret_20h|x_ease_of_movement_240min|x_overnight_return_8slot|x_trend_break2_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_2h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_overnight_return_240min|x_price_accel_8slot|x_is_night|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_vol_change_rate_240min|x_vol_mom_240min|x_turnover_x|x_open_interest_x,x_vwap_8slot|x_ma_ret_icir|x_vwap_dev_8slot|x_williams_r_8slot|x_price_channel_breakout_8slot|x_p_ret_20h|x_ease_of_movement_240min|x_overnight_return_8slot|x_trend_break2_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_2h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_overnight_return_240min|x_price_accel_8slot|x_is_night|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_vol_change_rate_240min|x_vol_mom_240min|x_turnover_x|x_open_interest_x
146,1.7547009635847663,1.779428760355676,0.09891118708363872,25,x_vwap_dev_8slot|x_williams_r_8slot|x_price_channel_breakout_8slot|x_p_ret_20h|x_ease_of_movement_240min|x_overnight_return_8slot|x_trend_break2_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_2h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_overnight_return_240min|x_price_accel_8slot|x_is_night|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_vol_change_rate_240min|x_vol_mom_240min|x_turnover_x|x_open_interest_x,x_vwap_8slot|x_ma_ret_icir|x_vwap_dev_8slot|x_williams_r_8slot|x_price_channel_breakout_8slot|x_p_ret_20h|x_ease_of_movement_240min|x_overnight_return_8slot|x_trend_break2_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_2h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_overnight_return_240min|x_price_accel_8slot|x_is_night|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_vol_change_rate_240min|x_vol_mom_240min|x_turnover_x|x_open_interest_x
94,1.7486772385972924,1.7739928336204476,0.10126238009262095,23,x_ease_of_movement_8slot|x_williams_r_8slot|x_price_channel_breakout_240min|x_sar_diff_240min|x_ease_of_movement_240min|x_overnight_return_8slot|x_trend_break_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_2h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_rel_vol_240min|x_vol_mom_240min|x_vwap_pv|x_open_interest_x,x_vwap_8slot|x_ma_ret_icir|x_ease_of_movement_8slot|x_williams_r_8slot|x_price_channel_breakout_240min|x_sar_diff_240min|x_ease_of_movement_240min|x_overnight_return_8slot|x_trend_break_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_2h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_rel_vol_240min|x_vol_mom_240min|x_vwap_pv|x_open_interest_x
107,1.729402286666152,1.754042817640967,0.09856212389925988,25,x_ease_of_movement_8slot|x_p_ret_8h|x_price_channel_breakout_240min|x_sar_diff_240min|x_aroon_osc_240min|x_overnight_return_8slot|x_trend_break_8slot|x_price_jump_240min|x_price_jump_8slot|x_ma_bar_ret|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_linearreg_ma_240min|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_rel_vol_240min|x_vol_mom_240min|x_volume_x|x_open_interest_x|x_session_sin,x_vwap_8slot|x_ma_ret_icir|x_ease_of_movement_8slot|x_p_ret_8h|x_price_channel_breakout_240min|x_sar_diff_240min|x_aroon_osc_240min|x_overnight_return_8slot|x_trend_break_8slot|x_price_jump_240min|x_price_jump_8slot|x_ma_bar_ret|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_linearreg_ma_240min|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_rel_vol_240min|x_vol_mom_240min|x_volume_x|x_open_interest_x|x_session_sin
78,1.7150309849380416,1.740006500847932,0.0999020636395611,25,x_vwap_dev_8slot|x_williams_r_8slot|x_price_channel_breakout_8slot|x_p_ret_20h|x_ma5_ma20_240min|x_overnight_return_8slot|x_trend_break2_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_2h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_price_accel_8slot|x_is_night|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_rel_vol_240min|x_vol_mom_240min|x_sell_vol|x_open_interest_x,x_vwap_8slot|x_ma_ret_icir|x_vwap_dev_8slot|x_williams_r_8slot|x_price_channel_breakout_8slot|x_p_ret_20h|x_ma5_ma20_240min|x_overnight_return_8slot|x_trend_break2_8slot|x_price_jump_240min|x_price_jump_8slot|x_spread_2h|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_gap_ratio_240min|x_price_accel_8slot|x_is_night|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_rel_vol_240min|x_vol_mom_240min|x_sell_vol|x_open_interest_x
144,1.705317542590197,1.7322188325720558,0.10760515992743566,22,x_williams_r_8slot|x_price_channel_breakout_240min|x_sar_diff_240min|x_price_delta_trend_8slot|x_trend_break2_8slot|x_absorption_8slot|x_ma_bar_ret|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_overnight_vol_240min|x_is_night|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_rel_vol_240min|x_vol_mom_240min|x_turnover_x|x_open_interest_x|x_session_sin,x_vwap_8slot|x_ma_ret_icir|x_williams_r_8slot|x_price_channel_breakout_240min|x_sar_diff_240min|x_price_delta_trend_8slot|x_trend_break2_8slot|x_absorption_8slot|x_ma_bar_ret|x_atr_8slot|x_cvd_8slot|x_vol_change_rate_8slot|x_overnight_vol_240min|x_is_night|x_close_pos_ratio_8slot|x_ad_line_8slot|x_obv_8slot|x_rel_vol_240min|x_vol_mom_240min|x_turnover_x|x_open_interest_x|x_session_sin
